id,country_id,league_id,season,stage,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
1789,1729,1729,2008/2009,15,8650,8654,0,0,1.3,5,12,1.25,5,10,1.33,4.2,8,1.25,4.5,10,1.29,4.33,8.5,1.3,5,11
1790,1729,1729,2008/2009,15,8472,8559,1,4,2.25,3.3,3.3,2.15,3.15,3.15,2.2,3.1,3,2.2,3.2,2.8,2.25,3.2,2.75,2.25,3.3,3.2
1791,1729,1729,2008/2009,15,8586,8668,0,1,1.91,3.5,4,1.9,3.2,3.8,1.9,3.2,3.6,2,3.2,3.2,1.95,3.25,3.3,2,3.3,3.8
1792,1729,1729,2008/2009,15,10252,9879,0,0,1.57,3.8,6.5,1.6,3.45,5.4,1.65,3.5,4.5,1.62,3.25,5,1.57,3.5,5,1.6,3.6,6
1793,1729,1729,2008/2009,15,8549,10261,0,0,2.2,3.3,3.4,2.05,3.2,3.3,2.1,3.1,3.2,2.2,3.2,2.8,2.1,3.1,3.1,2.2,3.25,3.4
1794,1729,1729,2008/2009,15,8456,10260,0,1,4.33,3.6,1.83,4.2,3.25,1.8,3.8,3.2,1.85,3.75,3.2,1.83,4.33,3.2,1.73,4.2,3.4,1.9
1795,1729,1729,2008/2009,15,8462,8655,3,2,2.1,3.3,3.6,1.85,3.3,3.9,1.9,3.2,3.6,1.83,3.2,3.75,2,3.2,3.2,2.1,3.25,3.6
1796,1729,1729,2008/2009,15,10194,8667,1,1,2.4,3.4,2.88,2.5,3.15,2.6,2.3,3.2,2.7,2.25,3.2,2.75,2.25,3.2,2.75,2.4,3.3,2.9
1797,1729,1729,2008/2009,15,8528,8659,2,1,1.73,3.6,5,1.75,3.3,4.4,1.8,3.2,4,1.8,3.3,3.75,1.83,3.2,3.75,1.72,3.6,5
1798,1729,1729,2008/2009,15,8455,9825,1,2,1.8,3.4,5,1.65,3.45,4.9,1.7,3.3,4.5,1.73,3.1,4.5,1.67,3.3,4.5,1.73,3.5,5
1799,1729,1729,2008/2009,16,10260,8472,1,0,1.14,7.5,23,1.15,6,15,1.2,5.2,11,1.17,7,15,1.17,6.5,19,1.14,7.5,17
1800,1729,1729,2008/2009,16,9825,8528,1,0,1.33,4.75,11,1.25,5,10,1.3,4.4,8.5,1.33,4.5,11,1.3,5,11,1.3,5,11
1801,1729,1729,2008/2009,16,8654,8586,0,2,2.75,3.25,2.62,2.5,3.15,2.6,2.55,3.1,2.55,2.6,3.4,2.6,2.7,3.2,2.6,2.7,3.25,2.5
1802,1729,1729,2008/2009,16,8668,10252,2,3,2.62,3.25,2.75,2.6,3.15,2.5,2.4,3.1,2.7,2.6,3.2,2.75,2.62,3.3,2.62,2.65,3.25,2.65
1803,1729,1729,2008/2009,16,10261,10194,2,2,1.8,3.5,4.75,1.75,3.3,4.4,1.75,3.3,4.2,1.8,3.5,4.5,1.8,3.5,4.5,1.75,3.5,5
1804,1729,1729,2008/2009,16,8655,8650,1,3,5.5,3.5,1.73,5,3.4,1.65,4.3,3.4,1.7,5.5,3.5,1.67,5.5,3.5,1.67,5.5,3.5,1.65
1805,1729,1729,2008/2009,16,9879,8456,1,1,2.6,3.2,2.8,2.6,3.15,2.5,2.5,3.1,2.6,2.6,3.4,2.6,2.6,3.2,2.7,2.65,3.2,2.7
1806,1729,1729,2008/2009,16,8559,8455,0,2,7,3.8,1.53,6.75,3.8,1.45,5.5,3.5,1.55,6,3.6,1.62,7,4,1.5,6,3.75,1.55
